Date,Ahmedabad,Delhi,Hyderabad,Patna,Visakhapatnam,Amritsar
2017-07-01,,,0.1,0.0,0.0,0.44
2017-07-02,,,0.01,0.0,0.0,0.29
2017-07-03,,,0.55,0.0,0.0,0.54
2017-07-04,,,0.18,0.0,0.0,0.995
2017-07-05,,,0.23,0.0,0.0,1.45
2017-07-06,,,5.74,0.0,0.0,
2017-07-07,,,2.26,0.0,0.0,
2017-07-08,,,1.05,0.0,0.0,
2017-07-09,,,0.67,0.0,0.0,
2017-07-10,,,1.27,0.0,0.0,
2017-07-11,,,2.42,0.0,0.0,
2017-07-12,,,0.54,0.0,0.0,
2017-07-13,,,0.42,0.0,0.0,
2017-07-14,,,0.57,0.0,0.0,2.23
2017-07-15,,,0.24,0.0,0.0,0.54
2017-07-16,,,0.06,0.0,0.0,0.44
2017-07-17,,,0.66,0.0,0.0,0.27
2017-07-18,,,0.19,0.0,0.0,0.1
2017-07-19,,,0.15,0.0,0.0,0.32
2017-07-20,,,0.07,0.0,0.0,0.59
2017-07-21,,,0.14,0.0,0.0,0.5
2017-07-22,,,0.06,0.0,0.0,0.17
2017-07-23,,,0.04,0.0,0.0,
2017-07-24,,,0.09,0.0,0.0,
2017-07-25,,,0.29,0.0,0.0,
2017-07-26,,,1.6,0.0,0.0,
2017-07-27,,,0.59,0.0,0.0,
2017-07-28,,,0.71,0.0,0.0,
2017-07-29,,,1.11,0.0,0.0,0.1
2017-07-30,,,1.34,0.0,0.0,0.21
2017-07-31,,,2.84,0.0,0.0,0.85
2017-08-01,,,2.65,0.0,0.0,0.46
2017-08-02,,,0.88,0.0,0.0,
2017-08-03,,,0.18,0.0,0.0,
2017-08-04,,,0.43,0.0,0.0,
2017-08-05,,,1.11,0.0,0.0,
2017-08-06,,,0.49,0.0,0.0,
2017-08-07,,,1.63,0.0,0.0,
2017-08-08,,,2.74,0.0,0.0,4.35
2017-08-09,,,0.88,0.0,0.0,3.01
2017-08-10,,,0.38,0.0,0.0,1.67
2017-08-11,,,0.87,0.0,0.0,2.64
2017-08-12,,,0.71,0.0,0.0,53.59
2017-08-13,,,0.41,0.0,0.0,25.73
2017-08-14,,,1.13,0.0,0.0,16.32
2017-08-15,,,0.74,0.0,0.0,20.66
2017-08-16,,,0.84,0.0,0.0,17.03
2017-08-17,,,0.99,0.0,0.0,19.21
2017-08-18,,,1.15,,0.0,23.76
2017-08-19,,,0.34,,0.0,25.23
2017-08-20,,,0.09,,0.0,19.06
2017-08-21,,,0.2,,0.0,19.74
2017-08-22,,,0.48,,0.0,21.26
2017-08-23,,,1.58,,0.0,16.37
2017-08-24,,,1.74,,0.0,17.46
2017-08-25,,,0.51,,0.0,16.79
2017-08-26,,,0.82,,0.0,20.39
2017-08-27,,,0.58,,0.0,20.63
2017-08-28,,,0.3,,0.0,19.23
2017-08-29,,,0.18,,0.0,16.93
2017-08-30,,0.0,0.16,,0.0,18.06
2017-08-31,,0.19,0.7,,0.0,18.17
2017-09-01,,0.23,1.69,,0.0,23.24
2017-09-02,,0.184,2.33,,0.0,17.52
2017-09-03,,0.138,0.4,,0.0,19.17
2017-09-04,,0.092,0.91,,0.0,18.41
2017-09-05,,0.046,2.2,,0.0,18.6
2017-09-06,,0.0,1.88,0.0,0.0,18.5
2017-09-07,,,1.4,0.0,0.0,21.24
2017-09-08,,,0.59,0.0,0.0,20.46
2017-09-09,,,0.21,0.0,0.0,21.03
2017-09-10,,,0.26,0.0,0.0,25.66
2017-09-11,,,0.25,0.0,0.0,18.18
2017-09-12,,,0.23,0.0,0.0,17.88
2017-09-13,,,0.72,0.0,0.0,18.2
2017-09-14,,,0.83,0.0,0.0,17.91
2017-09-15,,,1.44,0.0,0.0,19.6
2017-09-16,,,0.84,0.0,0.0,18.02
2017-09-17,,,0.25,0.0,0.0,15.68
2017-09-18,,,0.21,0.0,0.0,20.47
2017-09-19,,,0.06,0.0,0.0,16.76
2017-09-20,,,0.05,0.0,0.0,16.07
2017-09-21,,,0.06,0.0,0.0,15.93
2017-09-22,,,0.32,0.0,0.0,18.09
2017-09-23,,,0.79,0.0,0.0,14.53
2017-09-24,,,2.74,0.0,0.0,15.45
2017-09-25,,,0.93,0.0,0.0,17.17
2017-09-26,0.0,0.13,1.29,0.08,0.0,17.17
2017-09-27,0.0,0.12,3.95,0.09,0.0,17.16
2017-09-28,0.0,0.11,1.36,0.29,0.0,17.26
2017-09-29,0.0,0.13,0.43,0.02,0.0,17.29
2017-09-30,,0.1,0.34,0.03,0.0,24.69
2017-10-01,,0.03,0.48,0.12,0.36,6.61
2017-10-02,,0.05,0.28,0.11,0.14,2.34
2017-10-03,,0.1,0.65,0.12,0.41,2.21
2017-10-04,,0.08,2.06,0.24,1.28,5.67
2017-10-05,,0.09,5.94,0.19,0.11,3.03
2017-10-06,,0.15,1.49,0.17,0.56,4.69
2017-10-07,,0.09,2.64,0.08,0.57,2.31
2017-10-08,,0.09,0.96,0.2,0.21,0.0
2017-10-09,,0.09,0.9,0.17,0.22,6.65
2017-10-10,1.11,0.1,0.25,0.02,0.0,0.0
2017-10-11,0.64,0.1,0.52,0.06,0.0,0.0
2017-10-12,,0.08,0.92,0.02,0.0,0.0
2017-10-13,,0.09,0.03,0.05,0.0,0.0
2017-10-14,,0.09,0.0,0.04,0.0,0.0
2017-10-15,,0.09,0.0,0.13,0.0,0.0
2017-10-16,,0.09,0.43,0.14,0.0,0.0
2017-10-17,,0.09,0.07,0.08,0.0,0.0
2017-10-18,2.43,0.08,0.98,0.03,0.0,0.0
2017-10-19,1.925,0.08,2.01,0.17,2.12,13.24
2017-10-20,1.42,0.07,0.07,0.01,0.1,28.33
2017-10-21,2.42,0.07,0.06,0.07,0.34,27.97
2017-10-22,1.19,0.08,0.0,0.0,0.0,28.02
2017-10-23,0.92,0.09,1.08,0.16,0.15,26.67
2017-10-24,1.19,0.07,0.16,0.34,0.01,24.64
2017-10-25,2.13,0.07,0.0,0.37,0.0,27.32
2017-10-26,3.38,0.07,0.01,0.35,0.0,27.68
2017-10-27,4.05,0.06,0.21,0.26,0.02,25.08
2017-10-28,2.37,0.07,2.02,0.32,0.0,25.99
2017-10-29,3.75,0.08,0.02,0.44,0.0,26.57
2017-10-30,2.455,0.09,0.0,0.2,0.0,25.97
2017-10-31,1.16,0.08,5.25,0.22,1.11,26.31
2017-11-01,0.0,0.07,6.16,0.0,1.07,25.7
2017-11-02,0.0,0.07,4.5,0.18,1.1,26.93
2017-11-03,3.37,0.07,5.14,0.31,0.85,26.31
2017-11-04,5.22,0.07,3.75,0.68,0.83,29.17
2017-11-05,6.02,0.08,2.52,0.6,0.49,28.23
2017-11-06,14.62,0.07,3.17,0.46,1.04,26.22
2017-11-07,39.38,0.06,8.32,0.42,1.01,25.01
2017-11-08,51.5,0.06,6.02,0.55,0.99,25.25
2017-11-09,44.36,0.07,5.94,0.57,1.15,26.66
2017-11-10,39.8,0.08,3.52,0.87,1.04,26.69
2017-11-11,40.55,0.06,2.78,0.84,0.93,25.83
2017-11-12,0.0,0.06,4.07,0.55,0.53,24.9
2017-11-13,8.3,0.08,5.29,0.7,0.62,24.27
2017-11-14,32.14,0.07,6.43,3.5,1.09,23.97
2017-11-15,24.73,0.07,2.76,3.59,1.05,22.83
2017-11-16,6.98,0.12,1.81,2.39,1.45,24.21
2017-11-17,4.07,0.18,3.03,2.36,1.68,20.58
2017-11-18,3.84,0.08,2.92,3.59,1.19,14.11
2017-11-19,3.58,0.09,4.05,3.46,0.66,13.38
2017-11-20,81.26,0.1,9.33,1.69,0.83,15.21
2017-11-21,32.4,0.1,6.5,1.44,0.83,15.94
2017-11-22,37.06,0.1,3.1,1.64,1.09,17.21
2017-11-23,5.8,0.1,3.03,1.29,1.81,15.67
2017-11-24,5.88,0.11,2.49,2.9,1.94,17.59
2017-11-25,4.42,0.1,1.8,2.4,1.07,18.47
2017-11-26,16.9,0.1,1.91,3.12,1.1,18.92
2017-11-27,7.32,0.1,5.78,2.1,1.98,16.8
2017-11-28,8.85,0.1,8.15,2.55,3.56,18.88
2017-11-29,12.9,0.11,4.56,5.41,2.13,19.51
2017-11-30,24.51,0.1,3.69,7.2,1.13,20.81
2017-12-01,21.26,0.1,3.83,5.19,1.73,22.35
2017-12-02,7.27,0.1,3.93,7.22,0.69,19.74
2017-12-03,3.59,0.1,2.99,4.05,0.67,20.02
2017-12-04,4.86,0.1,2.43,3.5,1.04,16.63
2017-12-05,16.69,0.1,2.1,4.19,1.87,15.93
2017-12-06,3.73,0.12,2.52,4.08,2.23,11.05
2017-12-07,9.9,0.1,3.9,3.64,1.12,15.73
2017-12-08,10.1,0.1,3.66,3.55,1.27,18.04
2017-12-09,9.42,0.18,4.67,4.54,1.32,19.51
2017-12-10,14.29,0.25,2.35,2.81,1.9,17.46
2017-12-11,17.99,0.1,4.75,3.33,1.45,13.09
2017-12-12,28.35,0.11,6.17,2.57,1.67,11.12
2017-12-13,3.92,0.11,4.66,2.0,2.33,16.32
2017-12-14,3.21,0.11,3.88,1.74,0.93,22.25
2017-12-15,8.36,0.11,3.83,1.67,1.31,
2017-12-16,3.29,0.1,5.63,1.53,3.08,
2017-12-17,3.21,0.12,5.32,1.47,2.4,
2017-12-18,9.93,0.1,2.12,2.65,1.65,
2017-12-19,12.11,0.1,3.48,2.08,1.29,
2017-12-20,8.47,0.05,9.3,3.79,1.87,
2017-12-21,7.72,0.08,6.21,2.59,1.46,19.43
2017-12-22,5.22,0.19,7.58,1.82,2.32,7.89
2017-12-23,20.17,0.28,5.62,1.88,3.09,8.95
2017-12-24,17.71,1.04,4.49,1.3,2.09,10.23
2017-12-25,17.33,0.39,4.73,2.36,1.2,11.68
2017-12-26,11.46,0.42,4.36,1.73,2.26,12.87
2017-12-27,16.78,0.03,4.42,2.26,1.72,13.57
2017-12-28,26.51,0.0,5.69,3.34,2.68,9.38
2017-12-29,17.48,0.77,5.15,1.83,1.71,7.86
2017-12-30,9.53,1.18,4.63,2.08,1.01,9.95
2017-12-31,6.52,0.35,5.0,1.29,0.56,12.85
2018-01-01,6.33,0.24,3.74,1.1,0.66,10.61
2018-01-02,7.48,0.27,3.19,1.9,0.73,9.71
2018-01-03,9.5,0.21,5.07,1.82,1.65,5.67
2018-01-04,11.29,0.39,7.64,1.41,2.4,
2018-01-05,9.93,0.26,6.1,1.44,3.35,
2018-01-06,11.11,0.42,8.02,1.32,3.95,
2018-01-07,10.21,0.22,4.23,1.31,3.5,
2018-01-08,6.42,0.34,2.89,1.98,2.42,
2018-01-09,4.21,0.68,2.85,1.61,0.8,
2018-01-10,8.0,0.7,2.89,1.56,1.99,
2018-01-11,18.01,0.7,6.5,1.46,2.61,0.0
2018-01-12,16.31,1.39,6.66,1.31,2.76,5.61
2018-01-13,13.48,4.23,4.92,1.31,1.74,9.68
2018-01-14,10.19,1.71,5.41,1.0,2.3,8.75
2018-01-15,7.45,1.26,2.17,1.42,1.9,7.29
2018-01-16,13.33,0.4,11.61,2.39,1.77,10.69
2018-01-17,13.5,0.32,4.24,2.32,1.84,7.3
2018-01-18,9.53,0.05,8.02,1.91,1.79,6.48
2018-01-19,9.84,0.0,6.24,2.85,2.23,5.88
2018-01-20,24.42,0.0,10.57,1.72,2.66,6.38
2018-01-21,48.76,0.0,5.37,1.4,2.03,7.13
2018-01-22,4.11,0.0,4.31,1.98,2.11,6.37
2018-01-23,7.73,0.0,4.47,2.73,3.01,5.88
2018-01-24,18.66,0.0,4.5,2.36,2.715,5.28
2018-01-25,29.73,0.3,6.98,1.27,2.42,6.53
2018-01-26,20.09,0.6,8.14,0.8,2.125,5.08
2018-01-27,5.82,0.52,7.51,1.55,1.83,5.29
2018-01-28,12.69,0.84,5.89,1.89,2.54,5.82
2018-01-29,13.38,0.76,3.9,1.81,2.99,6.12
2018-01-30,19.45,0.49,5.56,2.11,6.39,7.04
2018-01-31,8.79,0.38,10.09,1.93,3.84,6.53
2018-02-01,3.21,0.62,6.12,1.61,3.85,7.08
2018-02-02,3.21,0.79,9.58,1.76,4.88,6.0
2018-02-03,3.21,0.45,8.68,2.52,4.8,7.37
2018-02-04,3.21,0.4,4.52,1.98,4.31,5.76
2018-02-05,3.21,0.36,1.65,1.28,4.76,6.23
2018-02-06,3.21,0.42,4.35,0.97,6.18,6.61
2018-02-07,3.21,0.36,7.84,0.85,3.81,6.05
2018-02-08,3.21,0.78,3.39,0.84,3.29,6.4
2018-02-09,3.21,0.61,3.35,0.77,3.86,6.94
2018-02-10,3.21,1.21,3.04,0.71,2.86,7.0
2018-02-11,3.21,0.67,1.49,0.83,1.92,6.14
2018-02-12,3.21,0.29,0.86,1.56,1.52,5.0
2018-02-13,3.21,0.35,1.1,1.22,1.3,4.98
2018-02-14,3.21,0.23,2.19,0.88,1.8,5.08
2018-02-15,3.21,0.16,2.42,0.68,4.97,5.37
2018-02-16,3.21,0.21,2.48,0.87,3.92,5.87
2018-02-17,3.21,0.33,2.83,0.79,4.18,6.21
2018-02-18,3.21,0.31,4.02,0.96,2.18,6.1
2018-02-19,3.21,0.79,1.72,1.71,2.72,6.35
2018-02-20,10.93,0.53,1.86,1.49,3.43,6.1
2018-02-21,29.26,0.93,2.73,1.55,4.3,6.06
2018-02-22,30.26,0.55,2.14,1.69,3.6,5.83
2018-02-23,40.05,0.0,2.22,1.47,3.38,5.94
2018-02-24,28.19,0.27,1.41,1.55,9.54,5.48
2018-02-25,16.33,0.2,2.2,1.17,8.39,5.335000000000001
2018-02-26,15.72,0.05,3.72,1.12,4.33,5.19
2018-02-27,18.38,0.06,3.91,0.8,3.35,5.83
2018-02-28,18.76,0.26,3.94,0.87,3.96,5.89
2018-03-01,17.01,0.56,3.4,0.74,3.79,6.22
2018-03-02,16.62,0.77,2.57,0.53,2.52,4.94
2018-03-03,13.17,0.57,1.75,0.36,2.28,5.72
2018-03-04,12.58,0.14,1.92,0.59,2.05,5.17
2018-03-05,11.58,0.0,1.85,0.69,2.99,5.16
2018-03-06,19.35,0.0,1.34,0.62,2.12,3.68
2018-03-07,13.31,0.0,1.67,0.74,3.57,1.86
2018-03-08,13.24,0.0,1.75,0.98,1.57,1.25
2018-03-09,16.0,0.0,1.94,0.84,1.34,0.85
2018-03-10,25.67,0.0,1.72,0.7,3.4,0.72
2018-03-11,25.34,0.0,1.13,0.64,2.71,0.85
2018-03-12,9.42,0.0,1.38,0.85,2.7,1.25
2018-03-13,11.7,0.0,1.41,0.84,3.05,1.38
2018-03-14,6.01,0.0,2.25,1.08,3.14,0.95
2018-03-15,8.02,0.0,1.21,0.98,2.89,0.65
2018-03-16,13.9,0.0,1.92,0.93,1.87,0.76
2018-03-17,9.61,0.0,1.92,0.79,4.33,0.72
2018-03-18,9.89,0.0,0.93,0.66,3.0,0.9
2018-03-19,5.03,0.0,1.37,0.81,2.13,0.79
2018-03-20,4.58,0.0,1.57,0.93,2.33,0.96
2018-03-21,6.0,0.0,1.98,0.92,3.03,1.35
2018-03-22,3.79,0.0,3.12,1.36,2.61,1.55
2018-03-23,3.21,0.0,4.81,1.57,2.44,1.63
2018-03-24,3.21,0.0,4.59,0.91,2.04,3.23
2018-03-25,3.21,0.0,3.08,0.83,1.15,2.21
2018-03-26,3.21,0.0,1.94,0.89,2.21,4.11
2018-03-27,6.99,0.0,1.71,1.24,2.8,1.88
2018-03-28,6.18,0.0,1.85,1.77,2.41,
2018-03-29,8.29,0.0,3.44,1.71,2.2,
2018-03-30,10.61,0.0,2.26,0.88,2.01,
2018-03-31,4.39,0.0,1.5,0.78,2.79,
2018-04-01,7.55,0.0,1.15,0.66,2.46,
2018-04-02,8.65,0.0,2.85,0.65,1.9,
2018-04-03,4.76,0.0,5.55,1.01,2.18,
2018-04-04,5.67,0.0,1.55,1.02,2.23,
2018-04-05,8.47,0.0,1.59,1.07,2.29,
2018-04-06,3.88,0.0,1.82,0.97,2.21,
2018-04-07,5.49,0.0,3.99,1.54,2.96,
2018-04-08,4.75,0.0,2.84,1.69,1.36,
2018-04-09,3.49,0.0,1.46,1.14,3.18,
2018-04-10,3.85,0.0,2.1,1.0,4.43,
2018-04-11,3.21,0.0,1.18,0.94,2.59,
2018-04-12,3.63,0.0,1.53,0.89,2.18,
2018-04-13,7.05,0.0,1.26,0.98,3.96,
2018-04-14,5.64,0.0,0.51,1.1,2.54,
2018-04-15,4.58,0.0,0.89,1.18,1.93,
2018-04-16,5.94,0.0,2.22,0.85,2.09,
2018-04-17,3.73,0.0,1.31,1.14,3.14,
2018-04-18,6.85,0.0,2.46,1.08,2.83,
2018-04-19,4.64,0.0,2.38,0.99,2.31,
2018-04-20,3.21,0.0,4.15,0.81,2.95,
2018-04-21,3.21,0.0,4.97,0.79,2.59,
2018-04-22,5.1,0.0,1.5,1.0,1.63,
2018-04-23,8.15,0.0,0.45,0.71,3.8,
2018-04-24,9.05,0.0,1.36,1.14,2.83,
2018-04-25,10.88,0.0,0.71,1.46,3.62,
2018-04-26,3.76,0.0,0.94,0.82,2.71,
2018-04-27,5.85,0.0,1.44,0.64,1.97,
2018-04-28,3.34,0.0,0.51,0.58,1.96,
2018-04-29,3.21,0.0,0.76,0.48,1.62,
2018-04-30,2.51,0.0,1.59,0.48,2.33,
2018-05-01,0.65,0.0,1.32,0.43,2.22,
2018-05-02,0.65,0.0,0.78,17.776666666666667,4.09,
2018-05-03,0.65,0.0,0.51,35.123333333333335,5.86,
2018-05-04,0.65,0.0,0.58,52.47,3.37,
2018-05-05,1.79,0.0,0.37,34.71,2.45,
2018-05-06,0.65,0.0,0.25,26.17,1.85,
2018-05-07,0.65,0.0,0.66,31.29,2.5,
2018-05-08,0.65,0.0,1.99,38.93,2.64,
2018-05-09,1.04,0.0,0.93,33.38,2.72,
2018-05-10,4.61,0.0,0.95,32.03,2.92,
2018-05-11,0.65,0.0,1.18,29.21,2.08,
2018-05-12,0.65,0.0,0.95,25.09,2.39,
2018-05-13,0.65,0.0,0.55,21.94,1.73,
2018-05-14,0.65,0.0,0.47,21.73,3.32,
2018-05-15,0.65,0.0,0.49,26.03,4.13,
2018-05-16,0.96,0.0,0.76,27.05,2.86,
2018-05-17,0.82,0.0,0.82,25.58,2.24,6.26
2018-05-18,0.65,0.0,0.88,28.55,2.71,6.23
2018-05-19,0.93,0.0,1.58,26.05,2.45,5.36
2018-05-20,0.87,0.0,0.62,20.34,1.69,5.54
2018-05-21,0.65,0.0,0.63,26.77,3.79,5.8
2018-05-22,0.65,0.0,0.44,25.77,2.07,5.98
2018-05-23,1.37,0.0,1.57,27.25,1.78,5.85
2018-05-24,0.65,0.0,1.7,26.09,2.22,5.78
2018-05-25,3.43,0.0,2.17,29.07,1.12,5.88
2018-05-26,4.78,0.0,0.53,23.05,1.76,5.77
2018-05-27,0.87,0.0,0.69,19.16,1.27,5.5
2018-05-28,0.65,0.0,0.72,24.9,2.56,5.75
2018-05-29,0.65,0.0,1.54,30.04,2.36,5.52
2018-05-30,1.97,0.0,0.66,32.04,2.15,5.17
2018-05-31,0.88,0.0,0.58,31.36,1.71,4.97
2018-06-01,0.65,0.0,2.16,22.49,2.14,4.6
2018-06-02,0.65,0.0,1.79,25.71,2.58,4.78
2018-06-03,0.65,0.0,0.5,22.35,4.47,5.24
2018-06-04,0.65,0.0,1.23,23.57,1.65,4.03
2018-06-05,0.65,0.0,1.45,27.67,3.71,4.18
2018-06-06,0.65,0.0,1.45,27.91,3.4,4.275
2018-06-07,0.65,0.0,0.71,31.27,2.39,4.37
2018-06-08,0.65,0.0,1.78,25.25,4.2,5.3
2018-06-09,0.65,0.0,1.62,21.51,2.92,4.35
2018-06-10,2.75,0.0,0.6,18.18,1.69,5.12
2018-06-11,1.03,0.0,0.7,26.78,2.06,4.38
2018-06-12,1.39,0.0,1.45,29.14,3.89,8.83
2018-06-13,0.72,0.0,0.73,27.25,3.07,5.89
2018-06-14,1.17,0.0,0.5,31.26,3.34,4.57
2018-06-15,0.84,0.0,0.48,32.98,2.82,4.49
2018-06-16,1.3,0.0,0.37,25.77,1.81,4.6
2018-06-17,0.94,0.0,0.31,22.67,1.73,5.09
2018-06-18,0.96,0.0,0.39,26.12,1.65,4.89
2018-06-19,0.8,0.03,0.21,27.06,1.57,4.7
2018-06-20,1.15,0.0,0.22,20.81,3.82,4.89
2018-06-21,1.88,0.0,0.39,19.29,2.35,4.66
2018-06-22,1.39,21.62,1.22,21.725,3.13,5.41
2018-06-23,1.1,18.61,1.61,24.16,2.54,4.98
2018-06-24,13.73,7.98,0.26,16.5,2.01,5.07
2018-06-25,2.56,2.05,0.21,14.0,3.44,3.45
2018-06-26,0.65,0.76,0.19,8.19,4.36,4.72
2018-06-27,1.1,1.31,0.28,14.05,4.88,3.58
2018-06-28,5.67,0.44,0.31,12.75,3.46,3.26
2018-06-29,1.54,1.01,0.29,14.54,4.8,3.84
2018-06-30,2.85,1.02,0.43,15.07,3.13,4.51
2018-07-01,1.19,1.0,0.32,12.91,3.78,5.27
2018-07-02,1.11,0.37,0.29,11.66,2.67,4.4
2018-07-03,0.65,1.98,0.68,8.29,4.1,3.6
2018-07-04,0.65,5.74,1.26,8.47,3.88,3.96
2018-07-05,5.26,14.04,0.31,9.98,3.92,4.11
2018-07-06,0.8,3.26,8.65,15.62,4.39,4.54
2018-07-07,6.37,2.46,9.5,18.13,4.28,5.01
2018-07-08,2.86,2.62,2.41,19.36,2.66,4.42
2018-07-09,1.92,1.01,1.61,25.86,3.21,3.31
2018-07-10,0.75,0.24,0.35,17.37,3.3,3.85
2018-07-11,1.07,0.39,5.29,19.97,4.14,3.95
2018-07-12,2.52,1.1,0.6,17.21,5.21,3.73
2018-07-13,0.65,0.99,0.25,17.56,3.81,2.14
2018-07-14,0.94,1.03,0.69,16.1,4.64,3.06
2018-07-15,0.65,0.41,0.38,14.98,3.64,5.49
2018-07-16,0.65,1.3,0.34,16.35,3.96,5.09
2018-07-17,6.65,0.85,0.27,14.92,3.48,4.28
2018-07-18,0.65,0.83,4.49,16.44,3.03,3.01
2018-07-19,0.65,0.47,2.47,18.94,3.19,4.41
2018-07-20,1.16,0.91,0.34,16.19,4.8,6.09
